{'arch': 'resnet18', 'checkpoint': './save/model_39.th', 'widen_factor': 1, 'batch_size': 128, 'lr': 0.2, 'nb_iter': 2000, 'print_every': 500, 'data_dir': '../data', 'val_frac': 0.01, 'output_dir': './save', 'trigger_info': './save/trigger_info.th', 'poison_type': 'benign', 'poison_target': 0, 'trigger_alpha': 1.0, 'anp_eps': 0.4, 'anp_steps': 1, 'anp_alpha': 0.2, 'dataset': 'cifar10', 'optimization_method': 'FO', 'zo_method': 'RGE', 'q': 192, 'mu': 0.005, 'model_type': 'AE_DS', 'encoder_arch': 'cifar_encoder_192_24_noise', 'decoder_arch': 'cifar_decoder_192_24_noise', 'classifier': '', 'pretrained_denoiser': '', 'pretrained_encoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_encoder.pth.tar', 'pretrained_decoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_decoder.pth.tar'}
Files already downloaded and verified
Files already downloaded and verified
Iter 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
47000 	 0.200 	 325.6 	 0.5126 	 0.8423 	 0.0000 	 1.0000 	 0.4589 	 0.8519
47500 	 0.200 	 325.7 	 0.5141 	 0.8409 	 0.0000 	 1.0000 	 0.4518 	 0.8534
48000 	 0.200 	 325.6 	 0.5104 	 0.8406 	 0.0000 	 1.0000 	 0.4543 	 0.8547
48500 	 0.200 	 325.7 	 0.5160 	 0.8399 	 0.0000 	 1.0000 	 0.4645 	 0.8531
49000 	 0.200 	 325.6 	 0.5070 	 0.8447 	 0.0000 	 1.0000 	 0.4488 	 0.8543
49500 	 0.200 	 325.6 	 0.5077 	 0.8429 	 0.0000 	 1.0000 	 0.4504 	 0.8541
50000 	 0.200 	 325.7 	 0.5061 	 0.8433 	 0.0000 	 1.0000 	 0.4524 	 0.8551
50500 	 0.200 	 325.6 	 0.5058 	 0.8434 	 0.0000 	 1.0000 	 0.4526 	 0.8533
51000 	 0.200 	 325.6 	 0.5132 	 0.8420 	 0.0000 	 1.0000 	 0.4571 	 0.8532
51500 	 0.200 	 325.7 	 0.5159 	 0.8401 	 0.0000 	 1.0000 	 0.4550 	 0.8540
52000 	 0.200 	 325.7 	 0.5100 	 0.8413 	 0.0000 	 1.0000 	 0.4528 	 0.8554
52500 	 0.200 	 325.7 	 0.5130 	 0.8416 	 0.0000 	 1.0000 	 0.4511 	 0.8554
53000 	 0.200 	 325.6 	 0.5180 	 0.8403 	 0.0000 	 1.0000 	 0.4458 	 0.8547
53500 	 0.200 	 325.6 	 0.5097 	 0.8436 	 0.0000 	 1.0000 	 0.4459 	 0.8561
54000 	 0.200 	 325.7 	 0.5168 	 0.8384 	 0.0000 	 1.0000 	 0.4550 	 0.8539
54500 	 0.200 	 325.7 	 0.5175 	 0.8397 	 0.0000 	 1.0000 	 0.4585 	 0.8536
55000 	 0.200 	 325.7 	 0.5050 	 0.8431 	 0.0000 	 1.0000 	 0.4478 	 0.8558
55500 	 0.200 	 504.2 	 0.5145 	 0.8389 	 0.0000 	 1.0000 	 0.4583 	 0.8531
56000 	 0.200 	 705.2 	 0.5103 	 0.8420 	 0.0000 	 1.0000 	 0.4570 	 0.8551
56500 	 0.200 	 705.3 	 0.5117 	 0.8422 	 0.0000 	 1.0000 	 0.4638 	 0.8506
57000 	 0.200 	 704.9 	 0.5229 	 0.8383 	 0.0000 	 1.0000 	 0.4694 	 0.8539
57500 	 0.200 	 530.3 	 0.5141 	 0.8411 	 0.0000 	 1.0000 	 0.4561 	 0.8538
58000 	 0.200 	 325.6 	 0.5139 	 0.8408 	 0.0000 	 1.0000 	 0.4574 	 0.8549
58500 	 0.200 	 325.6 	 0.5109 	 0.8407 	 0.0000 	 1.0000 	 0.4524 	 0.8534
59000 	 0.200 	 325.5 	 0.5115 	 0.8422 	 0.0000 	 1.0000 	 0.4598 	 0.8548
59500 	 0.200 	 325.6 	 0.5148 	 0.8398 	 0.0000 	 1.0000 	 0.4436 	 0.8559
60000 	 0.200 	 325.6 	 0.4997 	 0.8453 	 0.0000 	 1.0000 	 0.4569 	 0.8525
60500 	 0.200 	 325.6 	 0.5037 	 0.8441 	 0.0000 	 1.0000 	 0.4476 	 0.8565
61000 	 0.200 	 325.6 	 0.5093 	 0.8423 	 0.0000 	 1.0000 	 0.4449 	 0.8548
61500 	 0.200 	 325.6 	 0.5069 	 0.8445 	 0.0000 	 1.0000 	 0.4370 	 0.8566
62000 	 0.200 	 325.5 	 0.5057 	 0.8440 	 0.0000 	 1.0000 	 0.4550 	 0.8533
62500 	 0.200 	 325.5 	 0.5043 	 0.8438 	 0.0000 	 1.0000 	 0.4462 	 0.8574
63000 	 0.200 	 325.4 	 0.5062 	 0.8428 	 0.0000 	 1.0000 	 0.4448 	 0.8556
63500 	 0.200 	 325.6 	 0.5095 	 0.8420 	 0.0000 	 1.0000 	 0.4661 	 0.8520
64000 	 0.200 	 325.5 	 0.5129 	 0.8413 	 0.0000 	 1.0000 	 0.4648 	 0.8537
64500 	 0.200 	 325.5 	 0.5084 	 0.8425 	 0.0000 	 1.0000 	 0.4412 	 0.8560
65000 	 0.200 	 325.5 	 0.5147 	 0.8410 	 0.0000 	 1.0000 	 0.4513 	 0.8545
65500 	 0.200 	 325.5 	 0.5121 	 0.8393 	 0.0000 	 1.0000 	 0.4454 	 0.8566
66000 	 0.200 	 325.6 	 0.5117 	 0.8419 	 0.0000 	 1.0000 	 0.4486 	 0.8558
66500 	 0.200 	 325.5 	 0.5107 	 0.8416 	 0.0000 	 1.0000 	 0.4435 	 0.8586
67000 	 0.200 	 325.5 	 0.5112 	 0.8416 	 0.0000 	 1.0000 	 0.4453 	 0.8569
67500 	 0.200 	 325.5 	 0.5153 	 0.8401 	 0.0000 	 1.0000 	 0.4623 	 0.8517
68000 	 0.200 	 325.5 	 0.5103 	 0.8408 	 0.0000 	 1.0000 	 0.4483 	 0.8559
68500 	 0.200 	 325.5 	 0.5092 	 0.8426 	 0.0000 	 1.0000 	 0.4654 	 0.8529
69000 	 0.200 	 325.5 	 0.5048 	 0.8438 	 0.0000 	 1.0000 	 0.4544 	 0.8539
69500 	 0.200 	 325.4 	 0.5050 	 0.8446 	 0.0000 	 1.0000 	 0.4505 	 0.8544
70000 	 0.200 	 325.4 	 0.5130 	 0.8417 	 0.0000 	 1.0000 	 0.4445 	 0.8553
70500 	 0.200 	 325.5 	 0.5088 	 0.8427 	 0.0000 	 1.0000 	 0.4466 	 0.8555
71000 	 0.200 	 325.4 	 0.5081 	 0.8403 	 0.0000 	 1.0000 	 0.4495 	 0.8552
71500 	 0.200 	 325.4 	 0.5174 	 0.8399 	 0.0000 	 1.0000 	 0.4554 	 0.8528
72000 	 0.200 	 325.4 	 0.5103 	 0.8424 	 0.0000 	 1.0000 	 0.4486 	 0.8558
72500 	 0.200 	 325.5 	 0.5118 	 0.8397 	 0.0000 	 1.0000 	 0.4489 	 0.8565
73000 	 0.200 	 325.5 	 0.5102 	 0.8415 	 0.0000 	 1.0000 	 0.4387 	 0.8583
73500 	 0.200 	 325.5 	 0.5136 	 0.8400 	 0.0000 	 1.0000 	 0.4538 	 0.8542
74000 	 0.200 	 325.5 	 0.5079 	 0.8415 	 0.0000 	 1.0000 	 0.4692 	 0.8506
74500 	 0.200 	 325.5 	 0.5042 	 0.8440 	 0.0000 	 1.0000 	 0.4486 	 0.8557
75000 	 0.200 	 325.5 	 0.5186 	 0.8386 	 0.0000 	 1.0000 	 0.4719 	 0.8510
75500 	 0.200 	 325.5 	 0.5111 	 0.8420 	 0.0000 	 1.0000 	 0.4505 	 0.8558
76000 	 0.200 	 325.4 	 0.5150 	 0.8411 	 0.0000 	 1.0000 	 0.4568 	 0.8535
76500 	 0.200 	 325.5 	 0.5191 	 0.8387 	 0.0000 	 1.0000 	 0.4441 	 0.8562
77000 	 0.200 	 325.5 	 0.5128 	 0.8408 	 0.0000 	 1.0000 	 0.4518 	 0.8547
